x_00,x_01,x_02,x_10,x_11,x_12,x_20,x_21,x_22
0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0
0,-1,0,0,0,0,0,0,0
0,0,-1,0,0,0,0,0,0
0,0,0,-1,0,0,0,0,0
0,0,0,0,-1,0,0,0,0
0,0,0,0,0,-1,0,0,0
0,0,0,0,0,0,-1,0,0
0,0,0,0,0,0,0,-1,0
0,0,0,0,0,0,0,0,-1
1,-1,0,0,0,0,0,0,0
1,0,-1,0,0,0,0,0,0
1,0,0,-1,0,0,0,0,0
1,0,0,0,-1,0,0,0,0
1,0,0,0,0,-1,0,0,0
1,0,0,0,0,0,-1,0,0
1,0,0,0,0,0,0,-1,0
1,0,0,0,0,0,0,0,-1
-1,1,0,0,0,0,0,0,0
0,1,-1,0,0,0,0,0,0
0,1,0,-1,0,0,0,0,0
0,1,0,0,-1,0,0,0,0
0,1,0,0,0,-1,0,0,0
0,1,0,0,0,0,-1,0,0
0,1,0,0,0,0,0,-1,0
0,1,0,0,0,0,0,0,-1
-1,0,1,0,0,0,0,0,0
0,-1,1,0,0,0,0,0,0
0,0,1,-1,0,0,0,0,0
0,0,1,0,-1,0,0,0,0
0,0,1,0,0,-1,0,0,0
0,0,1,0,0,0,-1,0,0
0,0,1,0,0,0,0,-1,0
0,0,1,0,0,0,0,0,-1
-1,0,0,1,0,0,0,0,0
0,-1,0,1,0,0,0,0,0
0,0,-1,1,0,0,0,0,0
0,0,0,1,-1,0,0,0,0
0,0,0,1,0,-1,0,0,0
0,0,0,1,0,0,-1,0,0
0,0,0,1,0,0,0,-1,0
0,0,0,1,0,0,0,0,-1
-1,0,0,0,1,0,0,0,0
0,-1,0,0,1,0,0,0,0
0,0,-1,0,1,0,0,0,0
0,0,0,-1,1,0,0,0,0
0,0,0,0,1,-1,0,0,0
0,0,0,0,1,0,-1,0,0
0,0,0,0,1,0,0,-1,0
0,0,0,0,1,0,0,0,-1
-1,0,0,0,0,1,0,0,0
0,-1,0,0,0,1,0,0,0
0,0,-1,0,0,1,0,0,0
0,0,0,-1,0,1,0,0,0
0,0,0,0,-1,1,0,0,0
0,0,0,0,0,1,-1,0,0
0,0,0,0,0,1,0,-1,0
0,0,0,0,0,1,0,0,-1
-1,0,0,0,0,0,1,0,0
0,-1,0,0,0,0,1,0,0
0,0,-1,0,0,0,1,0,0
0,0,0,-1,0,0,1,0,0
0,0,0,0,-1,0,1,0,0
0,0,0,0,0,-1,1,0,0
0,0,0,0,0,0,1,-1,0
0,0,0,0,0,0,1,0,-1
-1,0,0,0,0,0,0,1,0
0,-1,0,0,0,0,0,1,0
0,0,-1,0,0,0,0,1,0
0,0,0,-1,0,0,0,1,0
0,0,0,0,-1,0,0,1,0
0,0,0,0,0,-1,0,1,0
0,0,0,0,0,0,-1,1,0
0,0,0,0,0,0,0,1,-1
-1,0,0,0,0,0,0,0,1
0,-1,0,0,0,0,0,0,1
0,0,-1,0,0,0,0,0,1
0,0,0,-1,0,0,0,0,1
0,0,0,0,-1,0,0,0,1
0,0,0,0,0,-1,0,0,1
0,0,0,0,0,0,-1,0,1
0,0,0,0,0,0,0,-1,1
